"","id","median_comment_length","mean_comment_length","number_of_runs","days_in_database","number_of_platforms_played_on","fraction_of_runs_played_on_emulated","number_unique_players","fraction_runs_by_unique_players","run_production_rate"
"198","nd28g83drkl5olq2game-level","19.5","34.4","17","568.041666666667","1","0","17","1","0.0299273820875816"
"199","nd28g83dvdo5e81kgame-level","48.5","52.5","25","614","1","0","24","0.96","0.0407166123778502"
"200","nd28g83dwdm5pxx2game-level","25","48.9333333333333","17","641","1","0","15","0.88235294117647","0.0265210608424337"
"201","nd28g83dzd3jzwy2game-level","35","45.3648648648649","110","1258","2","0","98","0.890909090909091","0.0874403815580286"
"202","nd2e9erd5dw7zllkgame-level","65","81","112","3227","1","0","112","1","0.03470715835141"
"203","nd2e9erd7dg4popdgame-level","70.5","80.6142131979695","419","2797.04166666667","1","0","419","1","0.149801129169212"
"204","nd2e9erd7kj6vw42game-level","69","79.843537414966","441","615.041666666667","1","0","441","1","0.717024591829822"
"205","nd2e9erdmkeqm06kgame-level","67","81.662192393736","454","2356.04166666667","1","0","454","1","0.192696082765939"
"206","nd2e9erdn2y9z41dgame-level","248","412.138157894737","760","398","1","0","742","0.976315789473684","1.90954773869347"
"207","nd2e9erdndx5pwjkgame-level","115","153.369863013699","292","411","1","0","253","0.866438356164384","0.710462287104623"
"208","nd2e9erdvdom79v2game-level","72","91.4508748317631","1561","3544","1","0","1156","0.740550928891736","0.440462753950339"
"209","nd2evpqdwdmv5yedgame-level","31","44.9","25","419","1","0","25","1","0.0596658711217184"
"210","nd2ggq10n2yqzq8kgame-level","254","179.547945205479","92","2496","4","0","80","0.869565217391304","0.0368589743589744"
"211","nd2ggq10ndxjww12game-level","264.5","211.485714285714","86","2933.95833333333","4","0","78","0.906976744186046","0.0293119363771924"
"212","nd2ggq10rklx88qkgame-level","258.5","218.243243243243","92","2847","4","0","79","0.858695652173913","0.0323147172462241"
"213","nd2ggq10vdo409o2game-level","254","193.018867924528","69","2896.04166666667","4","0","62","0.898550724637681","0.0238256240558233"
"214","nd2ggq10w20p44vkgame-level","257.5","209.214285714286","56","2549","4","0","54","0.964285714285714","0.0219693997646136"
"215","nd2ggq10wdmqzy42game-level","260","184.046511627907","59","2656.95833333333","4","0","53","0.898305084745763","0.0222058431477096"
"216","nd2ggq10wdmz11x2game-level","254","216.388059701493","89","2657.95833333333","4","0","76","0.853932584269663","0.0334843473217225"
"217","nd2ggq10wkpyj4vkgame-level","265","236.972972972973","53","2850.04166666667","4","0","48","0.905660377358491","0.0185962193535182"
"218","nd2ggq10xk907lykgame-level","173","149.541666666667","100","2648","4","0","92","0.92","0.0377643504531722"
"219","nd2ggq10z27gj7g2game-level","98","141.597222222222","229","3005.95833333333","5","0","204","0.890829694323144","0.076182027362322"
"220","nd2mev10wdm4154dgame-level","43","66.1481481481482","34","1543","1","0","34","1","0.0220349967595593"
"221","nd2n2qd0xd19m7k8game-level","65","78.5555555555556","25","2325.95833333333","2","0.48","24","0.96","0.0107482578865342"
"222","nd2w83d0xk9p4yd0game-level","52","74.1294117647059","161","2868","1","0","161","1","0.0561366806136681"
"223","nj1n4e6p02qgxl9dgame-level","27.5","39.8135593220339","185","3759.95833333333","6","0.227027027027027","185","1","0.0492026729019603"
"224","nj1nww1p9d8p1qkngame-level","22.5","36.5769230769231","62",NA,"4","0","62","1",NA
"225","nj1nww1p9kvp50kggame-level","19","33.34375","43",NA,"5","0","43","1",NA
"226","o1y0wr6qwk6y0od1game-level","59.5","92.84375","40","2417.04166666667","2","0.175","40","1","0.0165491561654226"
"227","o1y3qv6qn2y97edogame-level","100","166.916666666667","28","2455.04166666667","2","0.0357142857142857","28","1","0.0114051017464062"
"228","o1y9w8v6q25ery82game-level","37","53.1153846153846","48","423.958333333333","1","0","48","1","0.113218673218673"
"229","o1yjrv1qmkej1y92game-level","91","134.885714285714","41","3584","4","0.609756097560976","40","0.975609756097561","0.0114397321428571"
"230","o1yxvv6q7kjzq1ndgame-level","26.5","35.75","97","3070.95833333333","3","0","97","1","0.0315862312253233"
