"","id","game_id_string","beta_cat","tau0_cat","R_sq_cat","category_id_string","level_id_string","run_player_id","total_records_per_game_per_player","total_records_per_player","number_of_runs","total_runs_per_game_per_player","total_runs_per_player","player_efficacy_per_game","player_efficacy_global"
"1","2685e76p824xg7ndgame-level","2685e76p",1,0,9,"824xg7nd","game-level","kjpkogkx",1,2,2,1,2,1,1
"2","2685e76p824xg7ndgame-level","2685e76p",1,0,9,"824xg7nd","game-level","kj9o1dvj",1,2,1,1,2,1,1
"3","2685e76p824xg7ndgame-level","2685e76p",1,0,9,"824xg7nd","game-level","v8lk5y4x",1,1,1,1,2,1,0.5
"4","2685e76p824xg7ndgame-level","2685e76p",1,0,9,"824xg7nd","game-level","48ge031j",1,1,1,1,2,1,0.5
"5","2685e76p824xg7ndgame-level","2685e76p",1,0,9,"824xg7nd","game-level","zxzlqve8",1,2,1,1,2,1,1
"6","2685e76p824xg7ndgame-level","2685e76p",1,0,9,"824xg7nd","game-level","qjn99k2x",1,1,1,1,1,1,1
"7","2685e76p824xg7ndgame-level","2685e76p",1,0,9,"824xg7nd","game-level","qjo3km3j",1,1,1,1,2,1,0.5
"8","2685e76p824xg7ndgame-level","2685e76p",1,0,9,"824xg7nd","game-level","v8l0rgl8",1,1,1,1,2,1,0.5
"9","2685e76p824xg7ndgame-level","2685e76p",1,0,9,"824xg7nd","game-level","18v50v2j",1,1,1,1,1,1,1
"10","2685e76p824xg7ndgame-level","2685e76p",1,0,9,"824xg7nd","game-level","v8lqk4xm",1,1,1,1,1,1,1
"11","2685e76pmke0e8d6game-level","2685e76p",0,0,9,"mke0e8d6","game-level","v813qz3x",1,1,1,1,1,1,1
"12","2685e76pmke0e8d6game-level","2685e76p",0,0,9,"mke0e8d6","game-level","y8d00plx",1,1,1,1,1,1,1
"13","2685e76pmke0e8d6game-level","2685e76p",0,0,9,"mke0e8d6","game-level","zx7m40qx",1,1,1,1,4,1,0.25
"14","2685e76pmke0e8d6game-level","2685e76p",0,0,9,"mke0e8d6","game-level","kj9o1dvj",1,2,2,1,2,1,1
"15","2685e76pmke0e8d6game-level","2685e76p",0,0,9,"mke0e8d6","game-level","kjpkogkx",1,2,2,1,2,1,1
"16","2685e76pmke0e8d6game-level","2685e76p",0,0,9,"mke0e8d6","game-level","zxzlqve8",1,2,1,1,2,1,1
"17","2685e76pmke0e8d6game-level","2685e76p",0,0,9,"mke0e8d6","game-level","qj23dgpx",1,1,1,1,2,1,0.5
"18","2685e76pmke0e8d6game-level","2685e76p",0,0,9,"mke0e8d6","game-level","18v5rw2j",1,1,1,1,2,1,0.5
"19","2685e76pmke0e8d6game-level","2685e76p",0,0,9,"mke0e8d6","game-level","18qlzwjn",1,1,1,1,1,1,1
"20","2685e76pmke0e8d6game-level","2685e76p",0,0,9,"mke0e8d6","game-level","gpj064jw",1,2,1,1,10,1,0.2
"21","2685e76pmke0e8d6game-level","2685e76p",0,0,9,"mke0e8d6","game-level","5j5qlzjv",1,1,1,1,1,1,1
"22","2685e76pmke0e8d6game-level","2685e76p",0,0,9,"mke0e8d6","game-level","5j5kzqjv",1,1,1,1,1,1,1
"23","2685e76pmke0e8d6game-level","2685e76p",0,0,9,"mke0e8d6","game-level","0jmdn4j1",1,1,1,1,1,1,1
"24","2689591prklr48kngame-level","2689591p",2,0,8,"rklr48kn","game-level","jo30wmnj",1,1,1,1,1,1,1
"25","2689591prklr48kngame-level","2689591p",2,0,8,"rklr48kn","game-level","8wlg6r3j",1,1,1,1,1,1,1
"26","2689591prklr48kngame-level","2689591p",2,0,8,"rklr48kn","game-level","x3qp5o7j",1,1,1,1,1,1,1
"27","2689591prklr48kngame-level","2689591p",2,0,8,"rklr48kn","game-level","x3516wkj",1,1,1,1,1,1,1
"28","2689591prklr48kngame-level","2689591p",2,0,8,"rklr48kn","game-level","7j4rwlv8",1,1,1,1,1,1,1
"29","2689591prklr48kngame-level","2689591p",2,0,8,"rklr48kn","game-level","y8dd5986",1,1,1,1,1,1,1
"30","2689591prklr48kngame-level","2689591p",2,0,8,"rklr48kn","game-level","e8e4y2x0",1,1,1,1,1,1,1
"31","2689591prklr48kngame-level","2689591p",2,0,8,"rklr48kn","game-level","1xylgzjr",1,1,1,1,2,1,0.5
"32","2689591prklr48kngame-level","2689591p",2,0,8,"rklr48kn","game-level","qj2k97jk",1,1,1,1,2,1,0.5
"33","2689591prklr48kngame-level","2689591p",2,0,8,"rklr48kn","game-level","LEnNop112",1,1,1,1,1,1,1
"34","2689591pwk6vyeedgame-level","2689591p",2,0,8,"wk6vyeed","game-level","8d4v04g8",1,1,1,1,1,1,1
"35","2689591pwk6vyeedgame-level","2689591p",2,0,8,"wk6vyeed","game-level","8dwgrklj",1,1,1,1,2,1,0.5
"36","2689591pwk6vyeedgame-level","2689591p",2,0,8,"wk6vyeed","game-level","8wk3goq8",1,1,1,1,2,1,0.5
"37","2689591pwk6vyeedgame-level","2689591p",2,0,8,"wk6vyeed","game-level","8rp3vd3j",1,1,1,1,1,1,1
"38","2689591pwk6vyeedgame-level","2689591p",2,0,8,"wk6vyeed","game-level","qjnwr4jm",1,1,1,1,2,1,0.5
"39","2689591pwk6vyeedgame-level","2689591p",2,0,8,"wk6vyeed","game-level","qjn6ldxm",1,1,1,1,2,1,0.5
"40","2689591pwk6vyeedgame-level","2689591p",2,0,8,"wk6vyeed","game-level","98rv0dqj",1,2,1,1,4,1,0.5
"41","2689591pwk6vyeedgame-level","2689591p",2,0,8,"wk6vyeed","game-level","18qqrlw8",1,1,1,1,2,1,0.5
"42","2689591pwk6vyeedgame-level","2689591p",2,0,8,"wk6vyeed","game-level","pj07p64x",1,1,1,1,1,1,1
"43","268ekxy6n2y7rvz2game-level","268ekxy6",1,0,8,"n2y7rvz2","game-level","x3575o2j",1,1,1,1,1,1,1
"44","268ekxy6n2y7rvz2game-level","268ekxy6",1,0,8,"n2y7rvz2","game-level","8e9z4n7j",1,1,1,1,1,1,1
"45","268ekxy6n2y7rvz2game-level","268ekxy6",1,0,8,"n2y7rvz2","game-level","jo32lnlj",1,1,1,1,1,1,1
"46","268ekxy6n2y7rvz2game-level","268ekxy6",1,0,8,"n2y7rvz2","game-level","x7qgk9q8",1,1,1,1,1,1,1
"47","268ekxy6n2y7rvz2game-level","268ekxy6",1,0,8,"n2y7rvz2","game-level","v81g7np8",1,1,1,1,1,1,1
"48","268ekxy6n2y7rvz2game-level","268ekxy6",1,0,8,"n2y7rvz2","game-level","x7qg3w08",1,1,1,1,1,1,1
"49","268ekxy6n2y7rvz2game-level","268ekxy6",1,0,8,"n2y7rvz2","game-level","68wn04q8",1,1,1,1,1,1,1
"50","268ekxy6n2y7rvz2game-level","268ekxy6",1,0,8,"n2y7rvz2","game-level","kjp4qz2j",1,1,1,1,1,1,1
"51","268ekxy6n2y7rvz2game-level","268ekxy6",1,0,8,"n2y7rvz2","game-level","8dwwqygj",1,1,1,1,3,1,0.333333333333333
"52","268ekxy6n2y7rvz2game-level","268ekxy6",1,0,8,"n2y7rvz2","game-level","98rvgw6j",1,1,1,1,1,1,1
"53","268ekxy6n2y7rvz2game-level","268ekxy6",1,0,8,"n2y7rvz2","game-level","jmoo7yy8",1,1,1,1,1,1,1
"54","268ekxy6n2y7rvz2game-level","268ekxy6",1,0,8,"n2y7rvz2","game-level","7j4r55d8",1,1,1,1,1,1,1
"55","268ekxy6n2y7rvz2game-level","268ekxy6",1,0,8,"n2y7rvz2","game-level","zx7l3l0j",1,1,1,1,1,1,1
"56","268erm76vdoxgl9dgame-level","268erm76",1,0,9,"vdoxgl9d","game-level","xk4pvl2j",1,1,1,1,3,1,0.333333333333333
"57","268erm76vdoxgl9dgame-level","268erm76",1,0,9,"vdoxgl9d","game-level","8qz0owq8",1,2,1,1,3,1,0.666666666666667
"58","268erm76vdoxgl9dgame-level","268erm76",1,0,9,"vdoxgl9d","game-level","x72m2vv8",1,1,1,1,2,1,0.5
"59","268erm76vdoxgl9dgame-level","268erm76",1,0,9,"vdoxgl9d","game-level","8l0qkw48",1,1,1,1,1,1,1
"60","268erm76vdoxgl9dgame-level","268erm76",1,0,9,"vdoxgl9d","game-level","86nmv33x",1,1,1,1,1,1,1
"61","268erm76vdoxgl9dgame-level","268erm76",1,0,9,"vdoxgl9d","game-level","xz7v6vrj",1,1,1,1,1,1,1
"62","268erm76vdoxgl9dgame-level","268erm76",1,0,9,"vdoxgl9d","game-level","8l4zpy7j",1,1,1,1,1,1,1
"63","268erm76vdoxgl9dgame-level","268erm76",1,0,9,"vdoxgl9d","game-level","0jm925e8",1,1,1,1,1,1,1
"64","268erm76vdoxgl9dgame-level","268erm76",1,0,9,"vdoxgl9d","game-level","8wkeovq8",1,1,1,1,1,1,1
"65","268ex4o6w20ylqjkgame-level","268ex4o6",0,0,8,"w20ylqjk","game-level","zxzqz0nx",1,1,8,1,5,1,0.2
"66","268ex4o6w20ylqjkgame-level","268ex4o6",0,0,8,"w20ylqjk","game-level","68w5yzv8",1,1,3,1,1,1,1
"67","268ex4o6w20ylqjkgame-level","268ex4o6",0,0,8,"w20ylqjk","game-level","v81zypjp",1,2,4,1,8,1,0.25
"68","268ex4o6w20ylqjkgame-level","268ex4o6",0,0,8,"w20ylqjk","game-level","18q9330j",1,2,9,1,3,1,0.666666666666667
"69","268ex4o6w20ylqjkgame-level","268ex4o6",0,0,8,"w20ylqjk","game-level","x7q4z368",1,1,1,1,1,1,1
"70","268ex4o6w20ylqjkgame-level","268ex4o6",0,0,8,"w20ylqjk","game-level","y8dzr09j",1,1,NA,NA,NA,NA,NA
