"","iter","lambda","lambda_err","beta","beta_err","I_inf","I_inf_err","tau0","tau0_err","R_sq","delta_R_sq","R_sq_adj","convergence","id","run_date_in_days_max","R_sq_cat","beta_cat","tau0_cat"
"1",1601,0.0102548689694308,0.00148907881412204,1.46816002579955,0.0333062984724098,0.248547637877479,0.0186235212730056,22.6362536052378,3.84077099942909,0.966626520594286,9.99323856998302e-08,0.949939780891429,TRUE,"2685e76p824xg7ndgame-level",1239,9,1,0
"2",235,0.140701104549664,0.0189882336168513,0.520465047603693,0.0270772134398298,0.657931529757165,0.011217235483163,43.2938210574279,19.7128309862374,0.931829183451076,9.93708961782858e-08,0.909105577934768,TRUE,"2685e76pmke0e8d6game-level",2083,9,0,0
"3",10000,1.02448968095029e-13,1.33657997988688e-14,4.53776072541112,0.0175751121286531,0.378954605563191,0.0173554137865432,728.674498184021,39.5516335066427,0.969795529326098,3.3081813846092e-06,0.954693293989147,FALSE,"2689591prklr48kngame-level",3042,9,3,1
"4",1160,0.010968802904811,0.00410021819613553,2.35598965268684,0.174463959184127,0.189629119858685,0.0407863244103008,6.78976234310737,2.04033344339538,0.880720908993752,9.9972418787786e-08,0.809153454390003,TRUE,"2689591pwk6vyeedgame-level",876,8,2,0
"5",5136,3.61642719077462e-05,8.29920634504742e-06,1.78531933833808,0.0243811301188512,0.762524243787375,0.0182974406765732,307.548495379649,63.5929049248103,0.882876793248177,9.9888477378407e-08,0.843835724330902,TRUE,"268ekxy6n2y7rvz2game-level",765,8,1,0
"6",305,0.019284695314168,0.00183642621030143,1.2066720848079,0.0176642516279257,0.596251176330394,0.0117822406269868,26.3686562642875,3.34401875759361,0.985960484558203,9.91258279903207e-08,0.977536775293125,TRUE,"268erm76vdoxgl9dgame-level",374,9,1,0
"7",878,0.00974071758290546,0.0210765902576033,0.674411548268029,0.0172105188816644,0,1.85236497973024,960.429102055321,3249.72759040192,0.892840222913245,9.88424329051441e-08,0.839260334369868,TRUE,"268ex4o6w20ylqjkgame-level",202,8,0,1
"8",10000,0.0264516081333633,0.0422103217736701,0.478734926649056,0.017029288134421,0,0.964882492376903,1973.52670774665,7110.96901148539,0.658419968777288,8.64332667279699e-05,0.530327457068772,FALSE,"268exwy6vdo31v9dgame-level",2389,5,0,3
"9",492,0.00709039261705338,0.00124956001626678,1.13362266715378,0.0316303500138556,0.70358033344231,0.0133540451607083,78.701563855703,21.8216333627797,0.945492211645235,9.99603704254781e-08,0.912787538632375,TRUE,"268n096pq25onggkgame-level",1455,9,1,0
"10",7341,4.7845024430458e-12,3.66841444128527e-13,5.93807845392532,0.015802382078846,0.734790408465634,0.00284886476686999,80.6061316821066,1.98239308562912,0.994777454416649,9.99564109260831e-08,0.992166181624973,TRUE,"268q8o6p9kvo38j2game-level",670,9,3,0
"11",10000,1.15973689864813e-06,1.26517181487812e-07,2.41880164945586,0.0151475008542807,0.850240974377631,0.00336702570058243,284.419379903363,22.891990234678,0.969370468836312,1.89693678875891e-07,0.956243526909017,FALSE,"268wlo6pxd13oxrkgame-level",1313,9,2,0
"12",885,0.0663854080463707,0.0106754285804149,0.621849238536465,0.0229606141050808,0.367003876981601,0.0122043762312513,78.3850132066308,32.8938421710698,0.971835015257549,9.94757081151931e-08,0.96127314597913,TRUE,"29d30dlpjzd3y2nqgame-level",1837,9,0,0
"13",757,0.00527463716602844,0.000649554127157023,1.12416064832838,0.0213409209026139,0.304213699193421,0.0156365864265106,106.22566230908,21.0449987456816,0.967036058393559,9.95667103209641e-08,0.952908654847942,TRUE,"29d30dlpl9kvjkgqgame-level",2371,9,1,0
"14",5934,0.000220159786543199,1.51944387172963e-05,1.37454041817963,0.00779243155479906,0.444884118313117,0.0075402836214331,457.842636381076,38.8900103002205,0.987826286203709,9.99442894000779e-08,0.9832611435301,TRUE,"29d30dlpnxd1rk8qgame-level",3018,9,1,0
"15",4716,1.45079642876778e-05,2.04929914408679e-06,1.57770725392876,0.00982858991859764,0.860330795485972,0.00775593388793595,1166.06972749724,155.694713086267,0.984435620938106,9.99822404867956e-08,0.975096993500969,TRUE,"3698ngdlrklrw6kngame-level",2532,9,1,2
"16",1721,0.0390283830932156,0.00637973677342219,0.486325610440793,0.00496053331548716,0.66673889415116,0.0321049719474746,787.867787094923,318.415096472578,0.98036339609513,9.96355771221147e-08,0.970545094142695,TRUE,"369p9l1l7kjzj3d3game-level",2086,9,0,1
"17",431,0.118906388237024,0.0289692053249569,0.407671034565007,0.0156696276767256,0.146332215783992,0.0811795016659026,185.559418124377,148.14797332047,0.937581457427382,9.90316021409754e-08,0.900130331883812,TRUE,"369pky817kj8o5gdgame-level",1534,9,0,0
"18",29,0.0355604036931892,0.00391451730003814,1.0026570225339,0.0242700398635723,0.0130809921529315,0.0170827409550571,27.8736219864906,5.30540952472803,0.98212338040446,9.95156184124824e-08,0.97318507060669,TRUE,"369pky819kv6l382game-level",231,9,1,0
"19",10000,1.18600935614945e-13,4.20344937394119e-14,4.58960319785319,0.0372164771838495,0.501515236839883,0.0949527176843295,655.158346633731,85.044315452383,0.720148456297859,6.91997947721568e-06,0.580222684446788,FALSE,"369pky81n2y931zdgame-level",1073,5,3,1
"20",382,0.00369561087501779,0.000212977053041018,0.984434116430551,0.00550998231119217,0.172439534028563,0.0115065978576022,295.647041049559,26.7217145656761,0.994472413248114,9.99535997303624e-08,0.991708619872171,TRUE,"369pky81n2y9e4edgame-level",1436,9,0,0
"21",157,0.047550457673903,0.00813129683551696,0.929963633454663,0.051079488296138,0.322033444616054,0.0253422618701557,26.4526949418467,9.62310322910552,0.94543379537008,9.74004084053348e-08,0.91815069305512,TRUE,"369pky81z274mp52game-level",807,9,0,0
"22",142,0.00297611563152506,0.000171120027758563,2.35757490666919,0.0160165657808119,0.0177834243482103,0.000547473774909634,11.7920284272647,0.485258088460339,0.999980132726097,9.66321942463821e-08,0.999970199089146,TRUE,"369pky81zdnlnm72game-level",1253,9,2,0
"23",4,0.00062471268217913,0.000559632576188478,1.00031114411261,0.011494609525833,0,0.593370986128966,1597.06643494588,1565.60788006425,0.847438017079592,8.33937786604011e-08,0.771157025619388,TRUE,"369pp381wkpo3rw2game-level",1602,7,1,3
"24",2902,0.0446786827161528,0.0610400581341761,0.369746199975675,0.00889055673639264,0,0.972713342207402,4475.91378800456,17443.0979200372,0.874847703979722,9.98396291196357e-08,0.821211005685317,TRUE,"369pp381xk9gv1ydgame-level",1725,8,0,-1
"25",1115,0.00747109465389516,0.000772923109882484,1.68989763052005,0.028424564884726,0.693755005380834,0.00840273769605846,18.1312918732218,1.99369676653483,0.974137503424034,9.95919660073952e-08,0.961206255136052,TRUE,"369prm21824jpqe2game-level",235,9,1,0
"26",208,0.124344804037473,0.040813951867951,0.475839696670962,0.019037856527317,0,0.107388701975372,79.9251644216779,69.1415332327355,0.949217868512781,9.85950601162244e-08,0.91874858962045,TRUE,"3dx2lw41rklrw4rkgame-level",594,9,0,0
"27",10000,6.24998916231614e-11,6.96428447065298e-11,3.22226919211562,0.0111642360577469,0,0.776415044959608,1468.08069943461,544.763622499501,0.923074327287677,4.44155944911984e-06,0.876918923660283,FALSE,"3dx3yydy5dwqxndggame-level",1367,8,3,2
"28",62,0.125809920485575,0.0221110272082493,0.738921883247569,0.0514397822606905,0.264901659438918,0.0291259634919252,16.5339482282556,7.16157750146764,0.958681556272146,8.88611252358729e-08,0.933890490035434,TRUE,"3dx57v1yq25rpjkogame-level",1869,9,0,0
"29",4702,0.0417669447413364,0.024891884834037,0.478821253674841,0.0091589782423614,0,0.289645753959166,759.169062451767,1041.21936156426,0.95449363980138,9.97586168116626e-08,0.927189823682207,TRUE,"3dxe951y9kvq8oodgame-level",1847,9,0,1
"30",441,0.00999120942076344,0.0018995267667721,1.05387670760908,0.0355639104375132,0.276306330623431,0.0163088861983652,79.0892779056329,25.9325074992064,0.972531853618757,9.99138758395191e-08,0.956050965790011,TRUE,"3dxe951yrkl95lrkgame-level",1775,9,1,0
"31",94,0.0879818947652806,0.00918259558075159,0.974274628015643,0.0327693057705749,0.626489753352409,0.00934467935580167,12.1193577411632,2.3152413001333,0.967953685448055,9.89182061816862e-08,0.954219550640079,TRUE,"3dxkz0v15dw1v5nkgame-level",113,9,0,0
"32",88,0.204411700845038,0.0222851436003248,0.953642330001747,0.0512749415314443,0.631810846004825,0.0120126918620272,5.28459087660105,1.07717057727694,0.890707819914957,9.85597362612722e-08,0.868849383897948,TRUE,"3dxkz0v19kv83mjdgame-level",139,8,0,0
"33",630,0.00367933745179362,0.00057207226872443,1.80530333922253,0.0378999684965114,0.692031917980525,0.0117800688318398,22.3037293538624,3.37467895475784,0.979038399519049,9.90186328486686e-08,0.966461439230479,TRUE,"3dxkz0v1mkex8zxdgame-level",116,9,1,0
"34",57,0.127859589243619,0.0186635931560322,1.0167504581328,0.0486419050425759,0.63699497816328,0.0148085840114814,7.56050091944595,1.81711436394635,0.936915593206171,9.43146980514342e-08,0.905373389809257,TRUE,"3dxkz0v1ndx3qjodgame-level",114,9,1,0
"35",6612,0.017005265894865,0.0119360181915955,0.598029851038832,0.0141860735961609,0,0.356819736079633,909.374758775768,1214.28555070678,0.897071817182016,9.96364063476918e-08,0.86619336233662,TRUE,"3dxl5ydy824x1nmdgame-level",2193,8,0,1
"36",75,0.110461638027802,0.0243993276684012,0.643937016030634,0.0521773064149314,0.139851066303788,0.0435499513541254,30.6084810487306,18.9847283241624,0.930040279458582,9.10439860168921e-08,0.895060419187873,TRUE,"3dxl5ydyjdz37l32game-level",2422,8,0,0
"37",392,0.0262354516924133,0.00220340322021271,1.18443463805381,0.0172852819458616,0.664596094349416,0.00302452041388198,21.6226118494154,2.50314342989426,0.99339769642399,9.92283426537455e-08,0.990921832582987,TRUE,"46w0n91r02ql37pkgame-level",1487,9,1,0
"38",102,0.194463012108452,0.0269600655810957,0.701498094923643,0.044154299523067,0.623275645301135,0.0122090407649472,10.3223245416565,3.55666193152727,0.940657588942552,9.4082198365264e-08,0.918404184796009,TRUE,"46w0n91r5dwy905kgame-level",1481,9,0,0
"39",1072,0.0101489387812575,0.00168091429970364,7.28347218233803,0.224001537400299,0.629918114161262,0.00561636191121059,1.87807431353769,0.0791099242012216,0.965862688332035,9.99857685535233e-08,0.955621494831646,TRUE,"46w0n91r7dg5xzg2game-level",1578,9,3,0
"40",32,0.218299354026878,0.0407799795811459,0.922917229760725,0.0957384510734528,0.696685945547368,0.0106461618579366,5.20176114897216,1.94269131037094,0.905477523256924,9.35149065961483e-08,0.870031594478271,TRUE,"46w0n91rmkejvej2game-level",1484,8,0,0
"41",81,0.0725625349175241,0.0139920668417099,1.28795442946982,0.0831553258388276,0.670640369915229,0.0134924673623085,7.66604427583272,2.15584489099063,0.942948740419116,9.73303551088378e-08,0.918498200598738,TRUE,"46w0n91rwkpq9pjdgame-level",1535,9,1,0
"42",10000,2.68717349091123e-06,1.66649893520579e-05,1.45809228776398,0.0105047068020494,0,5.64060346258061,6615.20042667607,28555.5814693908,0.800051451977873,4.43930851634633e-07,0.680082323164597,FALSE,"46w2l76r02qg3wpdgame-level",2231,6,1,-1
"43",2124,0.0139837826676466,0.00207732149883603,6.37274031922908,0.17709029384361,0.805363406662664,0.00719545147187393,1.95427442259229,0.081941820188652,0.948243542128949,9.99581619698375e-08,0.917189667406318,TRUE,"46w2wo76w20no45dgame-level",12,9,3,0
