"","iter","lambda","lambda_err","beta","beta_err","I_inf","I_inf_err","tau0","tau0_err","R_sq","delta_R_sq","R_sq_adj","convergence","id"
"1",1601,0.0102548689694308,0.00148907881412204,1.46816002579955,0.0333062984724098,0.248547637877479,0.0186235212730056,22.6362536052378,3.84077099942909,0.966626520594286,9.99323856998302e-08,0.949939780891429,TRUE,"2685e76p824xg7ndgame-level"
"2",235,0.140701104549664,0.0189882336168513,0.520465047603693,0.0270772134398298,0.657931529757165,0.011217235483163,43.2938210574279,19.7128309862374,0.931829183451076,9.93708961782858e-08,0.909105577934768,TRUE,"2685e76pmke0e8d6game-level"
"3",4000,1.30903852246612e-07,2.45866424637616e-08,2.38765730852869,0.0252624177601313,0.379251405683516,0.026828595515938,763.417168223956,113.668649062172,0.928405362540743,1.24908887664255e-05,0.892608043811114,FALSE,"2689591prklr48kngame-level"
"4",1160,0.010968802904811,0.00410021819613553,2.35598965268684,0.174463959184127,0.189629119858685,0.0407863244103008,6.78976234310737,2.04033344339538,0.880720908993752,9.9972418787786e-08,0.809153454390003,TRUE,"2689591pwk6vyeedgame-level"
"5",4000,5.07000634503391e-05,1.18097201660365e-05,1.72346624051387,0.0237418820175968,0.76065382563232,0.0191908338279325,310.50309156501,66.5101401840071,0.882643960052001,3.67730418004975e-07,0.843525280069335,FALSE,"268ekxy6n2y7rvz2game-level"
"6",305,0.019284695314168,0.00183642621030143,1.2066720848079,0.0176642516279257,0.596251176330394,0.0117822406269868,26.3686562642875,3.34401875759361,0.985960484558203,9.91258279903207e-08,0.977536775293125,TRUE,"268erm76vdoxgl9dgame-level"
"7",878,0.00974071758290546,0.0210765902576033,0.674411548268029,0.0172105188816644,0,1.85236497973024,960.429102055321,3249.72759040192,0.892840222913245,9.88424329051441e-08,0.839260334369868,TRUE,"268ex4o6w20ylqjkgame-level"
"8",4000,0.0023428969417488,0.0025445471806247,0.805774184746119,0.0183474184485192,0,0.644537464100159,1837.58761022809,2791.2974162195,0.617464287012604,2.48189984120017e-07,0.47401339464233,FALSE,"268exwy6vdo31v9dgame-level"
"9",492,0.00709039261705338,0.00124956001626678,1.13362266715378,0.0316303500138556,0.70358033344231,0.0133540451607083,78.701563855703,21.8216333627797,0.945492211645235,9.99603704254781e-08,0.912787538632375,TRUE,"268n096pq25onggkgame-level"
"10",4000,1.37908561038997e-10,1.1824067674002e-11,5.16970008468664,0.017722264686299,0.734471292237568,0.00338767623222322,80.7879124124513,2.55616512226213,0.992624959042313,2.055286922098e-06,0.988937438563469,FALSE,"268q8o6p9kvo38j2game-level"
"11",4000,4.68051007141621e-05,5.31558236630774e-06,1.784058722206,0.0156158488150392,0.849914369096914,0.00362986475473713,267.230374641333,30.0821307554789,0.965138846724763,1.77516154797885e-06,0.950198352463947,FALSE,"268wlo6pxd13oxrkgame-level"
"12",885,0.0663854080463707,0.0106754285804149,0.621849238536465,0.0229606141050808,0.367003876981601,0.0122043762312513,78.3850132066308,32.8938421710698,0.971835015257549,9.94757081151931e-08,0.96127314597913,TRUE,"29d30dlpjzd3y2nqgame-level"
"13",757,0.00527463716602844,0.000649554127157023,1.12416064832838,0.0213409209026139,0.304213699193421,0.0156365864265106,106.22566230908,21.0449987456816,0.967036058393559,9.95667103209641e-08,0.952908654847942,TRUE,"29d30dlpl9kvjkgqgame-level"
"14",4000,0.000379759443374006,2.65055463194114e-05,1.29078246360854,0.00777230939907269,0.444057871292774,0.0077326286350727,446.61816912122,40.5587790486424,0.987554524637386,1.92573779700389e-07,0.982887471376406,FALSE,"29d30dlpnxd1rk8qgame-level"
"15",1466,0.0102605910543514,0.0392651504378233,0.381603031106355,0.00850809460876696,0,3.50327299945245,162843.724491886,1676600.25492462,0.866938820109926,9.98835515408913e-08,0.800408230164888,TRUE,"29d30dlpz2771020game-level"
"16",4000,1.78651406921427e-05,2.56788906083635e-06,1.54590972225659,0.00967358619381042,0.859279711887569,0.00809993208343081,1178.49173360156,161.727264824147,0.984317388681282,2.53286540741193e-07,0.974907821890052,FALSE,"3698ngdlrklrw6kngame-level"
"17",2,0.000149168739771359,0.00170596751057687,1.00002177392939,0.0140903063523454,0,10.5486756385101,6702.53155168487,77483.8253234774,0.752601426056665,6.57041679952286e-08,0.628902139084997,TRUE,"369g901ln2yv5e72game-level"
"18",1721,0.0390283830932156,0.00637973677342219,0.486325610440793,0.00496053331548716,0.66673889415116,0.0321049719474746,787.867787094923,318.415096472578,0.98036339609513,9.96355771221147e-08,0.970545094142695,TRUE,"369p9l1l7kjzj3d3game-level"
"19",431,0.118906388237024,0.0289692053249569,0.407671034565007,0.0156696276767256,0.146332215783992,0.0811795016659026,185.559418124377,148.14797332047,0.937581457427382,9.90316021409754e-08,0.900130331883812,TRUE,"369pky817kj8o5gdgame-level"
"20",29,0.0355604036931892,0.00391451730003814,1.0026570225339,0.0242700398635723,0.0130809921529315,0.0170827409550571,27.8736219864906,5.30540952472803,0.98212338040446,9.95156184124824e-08,0.97318507060669,TRUE,"369pky819kv6l382game-level"
"21",4000,3.58943792018444e-08,2.14484289832396e-08,2.55588509536786,0.0363879616217234,0.420354239685661,0.213480856454665,818.229069273903,269.426539996072,0.65210086634921,1.17582972156693e-05,0.478151299523816,FALSE,"369pky81n2y931zdgame-level"
"22",382,0.00369561087501779,0.000212977053041018,0.984434116430551,0.00550998231119217,0.172439534028563,0.0115065978576022,295.647041049559,26.7217145656761,0.994472413248114,9.99535997303624e-08,0.991708619872171,TRUE,"369pky81n2y9e4edgame-level"
"23",157,0.047550457673903,0.00813129683551696,0.929963633454663,0.051079488296138,0.322033444616054,0.0253422618701557,26.4526949418467,9.62310322910552,0.94543379537008,9.74004084053348e-08,0.91815069305512,TRUE,"369pky81z274mp52game-level"
"24",142,0.00297611563152506,0.000171120027758563,2.35757490666919,0.0160165657808119,0.0177834243482103,0.000547473774909634,11.7920284272647,0.485258088460339,0.999980132726097,9.66321942463821e-08,0.999970199089146,TRUE,"369pky81zdnlnm72game-level"
"25",4,0.00062471268217913,0.000559632576188478,1.00031114411261,0.011494609525833,0,0.593370986128966,1597.06643494588,1565.60788006425,0.847438017079592,8.33937786604011e-08,0.771157025619388,TRUE,"369pp381wkpo3rw2game-level"
